id_restaurant,label,food_type,city,review
1,"sparky's diner","24 hour diner","san francisco",2.3
2,"kabul afghan cuisine",afghani,"san carlos",3.8
3,"helmand restaurant",afghani,"san francisco",4.0
4,"afghani house",afghani,sunnyvale,3.6
5,"kabul afghan cusine",afghani,sunnyvale,3.7
6,"bamyan afghan restaurant",afghani,"san rafael",2.8
7,"kabul palace",afghani,"san jose",2.8
8,kandahar,afghani,concord,3.5
9,"kabobs house",afghani,vacaville,2.7
10,"massawa restaurant",african,"san francisco",3.4
11,"new eritrea restaurant & bar",african,"san francisco",3.0
12,"ola's african,carbbean, cajun restaurant",african,cupertino,2.3
13,"sum-yun chick","all ethnic",fremont,3.6
14,"alameda grill",american,alameda,2.3
15,"ann's lounge & hofbrau",american,alameda,2.0
16,"lyon's restaurant",american,alameda,2.3
17,"casablanca bar & grill",american,albany,2.0
18,"monterey restaurant",american,albany,2.3
19,"lyons restaurant",american,antioch,2.0
20,"bob eatery",american,benicia,2.0
21,"morgan's grill",american,benicia,2.3
22,"papa's family restaurant",american,benicia,2.0
23,"ann kong's world famous bleach bottle pig farm",american,berkeley,1.8
24,au-coquelet,american,berkeley,2.6
25,"gilman grill",american,berkeley,2.0
26,"rick & ann's",american,berkeley,3.5
27,"shattuck avenue spats",american,berkeley,2.6
28,"brooks ranch restaurant",american,brentwood,2.0
29,"the silver skillet",american,brentwood,2.0
30,"calistoga roastery",american,calistoga,2.3
31,"the silverado restaurant-taver",american,calistoga,2.3
32,denny's,american,campbell,2.0
33,denny's,american,campbell,1.7
34,"lyon's castro valley 442",american,"castro valley",2.0
35,"special continental cuisine",american,"castro valley",1.8
36,"andys restaurant",american,concord,2.0
37,"cocos 873",american,concord,2.0
38,"denny's restaurant",american,concord,2.0
39,"legends-sports restaurant inc",american,concord,2.3
40,"lyons restaurant",american,concord,2.0
41,"marie callender's no",american,concord,2.3
42,"peppermill inc",american,concord,2.8
43,"chuck e cheese",american,cupertino,2.0
44,"hobee's restaurant",american,cupertino,3.3
45,"hobee's santa cruz",american,cupertino,2.0
46,"marriott family restaurants",american,cupertino,2.0
47,"paul's family restaurant",american,cupertino,2.0
48,"t g i fridays",american,cupertino,1.8
49,"tgi fridays",american,cupertino,2.0
50,"the good earth",american,cupertino,2.3
51,"hungry hunter",american,"daly city",2.0
52,"cocos 874",american,danville,2.0
53,"denny's restaurant",american,danville,2.0
54,"lyons restaurant",american,danville,2.0
55,"virtual world",american,danville,2.0
56,"carrows hickory chip restauran",american,dublin,2.0
57,"cocos 872",american,dublin,2.0
58,"copper skillet pantry dublin",american,dublin,1.7
59,"dublin buffet",american,dublin,2.3
60,"carrows hickory chip restauran",american,"el cerrito",2.0
61,"kirby's family restaurant",american,"el cerrito",2.0
62,"blake's restaurant",american,"el sobrante",2.0
63,"denny's restaurant",american,emeryville,2.3
64,"lyons restaurant",american,emeryville,2.0
65,"townhouse bar & grill",american,emeryville,3.1
66,denny's,american,fairfield,2.0
67,denny's,american,fairfield,1.7
68,"denny's restaurant",american,fairfield,2.0
69,"hickey's brass rail",american,fairfield,2.0
70,"johnnie gourmet restaurant cocktails",american,fairfield,2.0
71,"lyons restaurant",american,fairfield,2.0
72,chili's,american,fremont,2.0
73,denny's,american,fremont,1.3
74,"denny's restaurant",american,fremont,2.0
75,"dina's family restaurant",american,fremont,3.0
76,"dino's family restaurant",american,fremont,2.3
77,"harvest farm buffet",american,fremont,2.0
78,"hungry hunter",american,fremont,2.5
79,"lyons restaurant",american,fremont,2.4
80,"marie callender",american,fremont,2.3
81,"star family restaraunt",american,fremont,2.7
82,"carrows hickory chip restauran",american,hayward,2.0
83,"denny's restaurant",american,hayward,2.0
84,"lyons restaurant",american,hayward,2.0
85,"lyons restaurant",american,hayward,2.0
86,"ernies family restaurant",american,hollister,2.0
87,"johnnies bar & grill",american,hollister,2.0
88,"hungry hunter",american,lafayette,2.8
89,"killarney house",american,lafayette,2.0
90,"papasan catering",american,lafayette,2.0
91,"peppers bar & grill",american,lafayette,3.3
92,"lyons restaurant",american,livermore,2.3
93,"mc kay's bar & grill",american,livermore,2.0
94,"pine street grill",american,livermore,2.0
95,"emil villa's hick'ry pit restaurant",american,"los altos",2.0
96,"marie callender pie shop",american,"los altos",2.4
97,"los gatos brewing co.",american,"los gatos",3.3
98,"the good earth",american,"los gatos",1.7
99,"carrows restaurant",american,martinez,1.8
100,"joes martinez bar & grill",american,martinez,2.0
101,denny's,american,milpitas,2.0
102,"hungry hunter",american,milpitas,3.3
103,"marie callender's",american,milpitas,2.3
104,"marie callender's pie shops",american,"morgan hill",2.0
105,"mushrooms grille & bar",american,"morgan hill",2.7
106,"marriott family restaurants",american,"mountain view",2.0
107,"denny's napa valley east",american,napa,2.0
108,henry's,american,napa,2.0
109,"lyons restaurant",american,napa,2.0
110,"marie callender's",american,napa,2.3
111,o'sullivan's,american,napa,2.0
112,"old adobe bar & grill",american,napa,2.0
113,"zapata bar and grill",american,napa,2.3
114,"lyons restaurant",american,newark,2.3
115,"red robin international inc",american,newark,2.0
116,"carrows hickory chip restauran",american,oakland,2.0
117,"crogan's montclair",american,oakland,2.7
118,"denny's restaurant",american,oakland,2.0
119,"denny's restaurant 296",american,oakland,2.0
120,"family affair",american,oakland,2.0
121,"g gs family restaurant",american,oakland,2.0
122,"garys grill & bar",american,oakland,2.7
123,"golden bull restaurant",american,oakland,2.0
124,"grand oaks restaurant",american,oakland,2.0
125,"hunan restaurant",american,oakland,2.0
126,"hungry hunter",american,oakland,2.0
127,"hungry hunter",american,oakland,2.0
128,"ike's rotisserie",american,oakland,2.7
129,"jack's restaurant & bar",american,oakland,2.7
130,"l j quinn's lighthouse",american,oakland,2.3
131,"mac's bar & grill",american,oakland,2.3
132,"montclair restaurant",american,oakland,2.0
133,"overland house grill",american,oakland,2.0
134,"soul brothers kitchen",american,oakland,2.0
135,"cookbook restaurant",american,"palo alto",3.0
136,"left at albuquerque",american,"palo alto",3.0
137,"macarthur park restaurant",american,"palo alto",2.4
138,"peninsula fountain",american,"palo alto",2.6
139,"q cafe billiards",american,"palo alto",2.5
140,"stars palo alto",american,"palo alto",2.6
141,"sundance mine company",american,"palo alto",3.5
142,"the good earth",american,"palo alto",2.2
143,"webster grill",american,piedmont,2.0
144,"the persimmon tree restraunt",american,pinole,2.7
145,tommy's,american,pinole,2.0
146,"snooker pete's bar & grill",american,pittsburg,2.0
147,"coco's 63 walnut creek",american,"pleasant hill",2.0
148,"denny's restaurant 162",american,"pleasant hill",2.0
149,"jojo's restaurant",american,"pleasant hill",2.0
150,"lyons restaurant",american,"pleasant hill",2.0
151,chili's,american,pleasanton,3.0
152,denny's,american,pleasanton,2.0
153,"hungry hunter",american,pleasanton,3.4
154,"lyons restaurant",american,pleasanton,2.0
155,"velvet turtle",american,pleasanton,2.0
156,"big boy",american,richmond,2.0
157,"edie's cafe",american,richmond,2.0
158,"general store at marina bay",american,richmond,2.0
159,"great american hamburger & pie co.",american,richmond,2.0
160,"little louie's",american,richmond,2.5
161,"hungry hunter",american,"south san francisco",2.0
162,"cheri's a family restaurant",american,"saint helena",2.0
163,"spring street restaurant",american,"saint helena",2.7
164,"chuck e cheeses",american,"san bruno",2.0
165,"t g i  fridays",american,"san bruno",2.3
166,"tgi fridays",american,"san bruno",2.0
167,"amazing grace vegetarian restaurant",american,"san francisco",2.0
168,"bullshead restaurant",american,"san francisco",3.9
169,"cafe 222",american,"san francisco",2.3
170,"ella's restaurant",american,"san francisco",3.4
171,"fairmont crown buffet",american,"san francisco",3.0
172,"fog city diner",american,"san francisco",3.1
173,"harpoon louie's",american,"san francisco",2.3
174,"harris' restaurant",american,"san francisco",3.2
175,"huckleberry finn restaurant",american,"san francisco",2.0
176,"izzy's steaks & chops",american,"san francisco",4.0
177,"joe's cable car restaurant",american,"san francisco",3.3
178,"lasavane west african restaurant & bar",american,"san francisco",2.0
179,"m & m tavern",american,"san francisco",2.0
180,"macarthur park restaurant",american,"san francisco",3.0
181,perry's,american,"san francisco",3.0
182,"sabella & la torre",american,"san francisco",2.7
183,"sugar broiler",american,"san francisco",2.0
184,"up & down club",american,"san francisco",3.3
185,"vince'south san francisco",american,"san francisco",2.0
186,"broilerworks retaurants ltd",american,"san jose",2.0
187,"california kitchen",american,"san jose",2.0
188,coco's,american,"san jose",2.0
189,"enio's family restaurant",american,"san jose",2.0
190,"hobee's montague exp",american,"san jose",2.3
191,"hungry hunter",american,"san jose",2.9
192,"jim's family restaurant",american,"san jose",2.0
193,"marie callender's",american,"san jose",2.0
194,"marie callender's pie shop",american,"san jose",2.3
195,"marie callenders",american,"san jose",2.3
196,"marriott family restaurants",american,"san jose",2.0
197,"carrows hickory chip restauran",american,"san leandro",2.0
198,"denny's restaurant",american,"san leandro",2.0
199,"denny's restaurant",american,"san leandro",2.0
200,"lyons restaurant",american,"san leandro",2.0
201,"nicks family restaurant",american,"san leandro",2.7
202,"california kitchen",american,"san mateo",2.0
203,"t g i  fridays",american,"san mateo",2.3
204,"friday's of california",american,"san ramon",2.0
205,mudd's,american,"san ramon",3.8
206,"t g i  fridays",american,"san ramon",2.3
207,"tommy t's",american,"san ramon",2.3
208,"marriott family restaurants",american,"santa clara",2.0
209,"mcneils bar & grill",american,"santa clara",2.0
210,"the good earth",american,"santa clara",2.0
211,"petes family restaurant",american,"santa cruz",2.0
212,"pontiac grill",american,"santa cruz",2.4
213,"mikayla at c.madrona",american,sausalito,3.4
214,denny's,american,"suisun city",2.0
215,"golden grill restaurant",american,"suisun city",2.0
216,"mullins pub & grill",american,"suisun city",2.3
217,"country gourmet &",american,sunnyvale,3.0
218,"silver spoon cafe",american,sunnyvale,2.0
219,"silver spoon cafe",american,sunnyvale,2.0
220,"sunnyvale cattleman's",american,sunnyvale,2.7
221,"the silver spoon",american,sunnyvale,2.0
222,"carrows hickory chip restauran",american,"union city",2.0
223,"zaida's filipino-american cuis",american,"union city",2.0
224,"denny's restaurant",american,vallejo,2.0
225,"denny's restaurant",american,vallejo,2.0
226,"jamerican cuisine",american,vallejo,2.0
227,"lyons restaurant",american,vallejo,2.0
228,"rod's hickory pit restaurant",american,vallejo,2.0
229,tommy's,american,vallejo,2.0
230,"western restaurant",american,vallejo,2.0
231,"abernathy's restaurant",american,"walnut creek",2.0
232,"buttercup kitchen",american,"walnut creek",2.3
233,"copper skillet",american,"walnut creek",2.0
234,"crogan's bar & grill",american,"walnut creek",2.3
235,"denny's restaurant",american,"walnut creek",2.0
236,"lyons restaurant",american,"walnut creek",1.7
237,"marie callenders-walnut creek",american,"walnut creek",2.0
238,"vic stewarts",american,"walnut creek",2.5
239,"yountville bar & grill",american,yountville,2.0
240,"barbary coast",american,"san francisco",2.8
241,"california cafe",american,"los gatos",3.6
242,"hawthorne lane",american,"san francisco",4.3
243,boulevard,american,"san francisco",4.0
244,"tgi fridays",american,oakland,1.5
245,"gate five",american,sausalito,2.8
246,"cacti bar and mesquite grill",american,novato,3.3
247,"lark creek cafe",american,"walnut creek",3.1
248,"the house",american,"san francisco",3.9
249,"sylvia's country kitchen",american,antioch,2.7
250,spurs,american,byron,2.5
251,"baker's square",american,napa,2.0
252,"bakers square restaurant & pie shop",american,"rohnert park",2.0
253,"bakers square restaurant & pie shop",american,"santa rosa",1.7
254,"checkers pizza & frozen yogurt",american,"santa rosa",2.0
255,"marios family restaurant",american,"santa rosa",2.0
256,"union hotel restaurant",american,sebastopol,2.0
257,"bakers square restaurant & pie",american,"san francisco",2.0
258,"bakers square restaurant & pies",american,"san bruno",3.0
259,"dunville market",american,hollister,2.7
260,flames,american,"san jose",2.3
261,birk's,american,"santa clara",2.3
262,"mixx-an american bistro",american,"santa rosa",2.8
263,"empire tap room",american,"palo alto",3.1
264,"94th aero squadron",american,"san jose",3.0
265,t.g.i.friday,american,pleasanton,2.8
266,applebees,american,livermore,2.3
267,"pleasanton hotel",american,pleasanton,3.5
268,"sky kitchen",american,"san carlos",2.0
269,"peggy sue's",american,"san jose",2.0
270,"harbor 15",american,"san rafael",2.0
271,"pearl's cafe",american,fremont,3.2
272,"banta inn",american,banta,2.0
273,"green mill inn",american,pengrove,2.7
274,"bagdad cafe",american,"san francisco",3.2
275,"little orphan andys",american,"san francisco",2.6
276,"tuba garden",american,"san francisco",2.3
277,"sorci's restaurant",american,"morgan hill",2.5
278,"kelly's restaurant",american,antioch,3.0
279,"tnn properties ",american,"san francisco",2.0
280,"parkside restaurant",american,"san francisco",2.7
281,"ridge side cafe",american,"portola valley",2.7
282,"kenwood restaurant & bar",american,kenwood,3.0
283,"buckley lodge",american,kenwood,3.3
284,"broiler express",american,"san carlos",2.3
285,"union hotel",american,benicia,3.4
286,"planet hollywood",american,"san francisco",2.3
287,"harbor fifteen",american,"san rafael",2.0
288,"villa coffee shop",american,"san mateo",2.7
289,"allied arts guild",american,"menlo park",2.7
290,"red tractor cafe",american,oakland,2.3
291,"marie callender's restaurant & bakery",american,sunnyvale,2.3
292,ricks,american,"san francisco",2.7
293,"chili great chili",american,"pacific grove",2.0
294,"goodie goodie cafe",american,"san francisco",2.0
295,bandera,american,"los altos",3.6
296,"sophie's cookhouse",american,"san francisco",2.3
297,"big horn",american,"san ramon",2.3
298,"julie rings heart & soul",american,"san francisco",2.7
299,"home plate",american,"san francisco",3.0
300,"brandon's of saratoga",american,saratoga,3.4
301,alexi's,american,"san jose",2.3
302,shelby's,american,orinda,2.0
303,birks,american,"santa clara",2.0
304,"julie rings heart & soul",american,"san francisco",3.0
305,"max's opera cafe of burlingame",american,burlingame,2.6
306,"bill's cafe",american,"san jose",2.8
307,applebee's,american,gilroy,2.0
308,"zuni cafe",american,"san francisco",2.3
309,friday's,american,oakland,2.0
310,"jim's country style restaurant",american,pleasanton,2.7
311,"hobee's california restaurant",american,emeryville,2.3
312,"lehr brothers bistro and grill",american,"san francisco",3.2
313,"manka's inverness lodge",american,inverness,3.5
314,"the flying boar",american,napa,2.0
315,faz,american,pleasanton,2.0
316,"baker's square",american,concord,2.3
317,"savoy at the boundry oak",american,"walnut creek",3.0
318,"blue sky cafe",american,"mountain view",3.0
319,"country waffles",american,benicia,2.6
320,"encore cafe",american,"morgan hill",4.2
321,"courtyard cafe",american,alameda,2.7
322,"star rockets",american,"mountain view",2.3
323,"john's grill",american,"san francisco",3.5
324,"tadich grill",american,"san francisco",2.6
325,"hard rock cafe",american,"san francisco",2.3
326,"max's opera cafe",american,"san francisco",2.3
327,"val's redwood room",american,"daly city",2.5
328,"max's opera cafe",american,"walnut creek",3.2
329,star,american,fremont,3.4
330,"the restaurant at convict lake",american,"mammoth lakes",2.0
331,"the mogul",american,"mammoth lakes",2.7
332,"eugene's bay view bar and restaurant",american,larkspur,2.7
333,"millie's kitchen",american,lafayette,2.6
334,bix,american,"san francisco",3.3
335,"powell's place",american,"san francisco",2.3
336,"buttercup pantry",american,pleasanton,2.0
337,"buttercup pantry",american,pleasanton,2.3
338,"bear republic brewing co., inc.",american,healdsburg,2.0
339,mecca,american,"san francisco",3.3
340,"alex's restaurant & pub",american,calistoga,2.0
341,"sneakers pub & grill",american,"san carlos",3.3
342,cinnabar,american,calistoga,2.0
343,"mimi's cafe",american,"san jose",2.7
344,"del monte express",american,monterey,2.0
345,"crescent park grill",american,"palo alto",2.7
346,"caprices restaurant & cafe",american,burlingame,2.7
347,"chili's grill & bar",american,"san bruno",2.0
348,meharry's,american,"san francisco",2.0
349,"two fools cafe & market",american,"half moon bay",2.6
350,tradewinds,american,"fort bragg",2.5
351,"elephant bar",american,burlingame,2.3
352,"claim jumper",american,concord,2.7
353,"the montclair eggshop",american,oakland,2.3
354,"cameron's restaurant and inn",american,"half moon bay",2.0
355,"swan court cafe",american,milpitas,2.0
356,"the hog's breath inn",american,carmel,2.7
357,"mission ranch",american,carmel,2.7
358,"elysium cafe",american,"san francisco",3.6
359,"spoons restaurant",arabic,fremont,2.9
360,"noor's cafe",arabic,"san francisco",2.0
361,pasha,arabic,"san francisco",2.1
362,"the grapeleaf restaurant",arabic,"san francisco",3.0
363,"sunrise deli",arabic,"san francisco",2.7
364,"the armenian gourmet",armenian,sunnyvale,3.4
365,"lucky dragon",asian,aptos,2.3
366,"pacific rim buffet",asian,aptos,2.0
367,"fung lum restaurant",asian,campbell,2.4
368,"house of orient",asian,campbell,2.0
369,"oriental garden restaurant",asian,campbell,2.0
370,masayuki's,asian,capitola,2.0
371,"wok west",asian,capitola,2.0
372,"oriental kitchen",asian,colma,2.0
373,"lotus garden",asian,"foster city",2.5
374,"yet wah restaurant",asian,"foster city",2.8
375,"mings kitchen",asian,"los gatos",2.3
376,"yeung shing restaurant",asian,"los gatos",2.0
377,"chef wang restaurant",asian,millbrae,3.0
378,"fung jen palace",asian,milpitas,2.4
379,"hong kong garden restaurant",asian,milpitas,2.0
380,"hungkee garden restaurant",asian,milpitas,1.5
381,"jangtu soondae restaurant",asian,milpitas,2.0
382,"manila chopsticks",asian,milpitas,2.0
383,"pho 909 restaurant",asian,milpitas,2.0
384,"pho super bowl",asian,milpitas,3.5
385,"pho world",asian,milpitas,2.8
386,"the new orient",asian,milpitas,2.3
387,"chef wang",asian,"mountain view",3.3
388,"pedro point restaurant",asian,pacifica,3.3
389,"chin's restaurant",asian,"redwood city",2.3
390,"ling nam noodle house",asian,"south san francisco",2.0
391,"bamboo garden",asian,"san bruno",2.0
392,"fon yong restaurant",asian,"san bruno",2.0
393,"golden palace restaurant",asian,"san bruno",2.0
394,"grandehos hibachi",asian,"san bruno",2.0
395,"luck jade restaurant",asian,"san bruno",2.0
396,"wang's house",asian,"san bruno",2.3
397,"chu's garden restaurant",asian,"san carlos",2.7
398,"uncle chen restaurant",asian,"san carlos",3.3
399,"anh dao restaurant",asian,"san jose",2.0
400,"bac huong restaurant",asian,"san jose",3.0
401,"binh minh restaurant",asian,"san jose",2.0
402,"chau kee restaurant",asian,"san jose",2.0
403,"dac phuc restaurant",asian,"san jose",2.3
404,"hoa xuan restaurant",asian,"san jose",2.0
405,"kowloon kitchen",asian,"san jose",2.0
406,"lai lai restaurant",asian,"san jose",2.0
407,"long hai restaurant",asian,"san jose",2.0
408,"long hoa restaurant",asian,"san jose",2.0
409,"lung wah restaurant",asian,"san jose",2.0
410,"nha thanh restaurant",asian,"san jose",2.0
411,"paradise oriental restaurant",asian,"san jose",2.0
412,"pho 90 restaurant",asian,"san jose",2.0
413,"pho hien",asian,"san jose",2.0
414,"pho hoang restaurant",asian,"san jose",2.0
415,"pho thanh hien restaurant",asian,"san jose",2.0
416,"quang da restaurant",asian,"san jose",2.0
417,"sanuki restaurant",asian,"san jose",2.0
418,"song tien restaurant",asian,"san jose",2.0
419,"soong soong restaurant",asian,"san jose",2.0
420,"thanh ha",asian,"san jose",2.0
421,"thanh ha com chay",asian,"san jose",2.0
422,"thanh huong ii",asian,"san jose",2.0
423,"thanh son tofu che hien khanh",asian,"san jose",2.0
424,"thanh van ii restaurant",asian,"san jose",2.0
425,"vung tau restaurant",asian,"san jose",1.8
426,"yeung's sung yuan restaurant",asian,"san jose",2.0
427,"new kwok wah",asian,"san mateo",2.0
428,"the pot sticker",asian,"san mateo",2.7
429,"viet hung restaurant",asian,"san mateo",2.0
430,"mister go ii oriental cuisine",asian,"santa clara",2.0
431,"pho hoa",asian,"santa clara",2.5
432,"sham hing restaurant",asian,"santa clara",2.0
433,"su's mongolian b b",asian,"santa clara",3.0
434,"asian rose restaurant",asian,"santa cruz",3.2
435,"asian rose restaurant",asian,"santa cruz",2.8
436,"bamboo restaurant",asian,"santa cruz",2.0
437,"mei garden restaurant",asian,"santa cruz",2.0
438,"mei garden restaurant",asian,"scotts valley",2.3
439,"golden buddha restaurant",asian,soquel,2.8
440,"orient expresso",asian,soquel,2.0
441,"wee ming restaurant",asian,soquel,2.0
442,"chef chen",asian,sunnyvale,2.0
443,"king wah restaurant",asian,sunnyvale,2.3
444,"pho golden bowl restaurant",asian,sunnyvale,2.7
445,"pho xe lua noodle house",asian,sunnyvale,2.0
446,"phu hai restaurant",asian,sunnyvale,2.0
447,"the new orient",asian,sunnyvale,2.0
448,"the house",asian,"san francisco",3.9
449,"oriental express",asian,sebastopol,2.0
450,"oriental pearl restaurant",asian,"san francisco",2.0
451,"oriental restaurant",asian,"san francisco",2.0
452,"oriental seafood restaurant",asian,"san francisco",2.0
453,"wanton house",asian,"santa clara",2.3
454,"chicken bowl",asian,"santa clara",2.0
455,sticks,asian,"santa clara",3.0
456,"betelnut pejiu wu",asian,"san francisco",3.6
457,"season buffet",asian,newark,2.2
458,"lhasa moon",asian,"san francisco",3.0
459,crustacean,asian,"san francisco",3.0
460,"ru lepic",asian,"san francisco",2.7
461,crustacean,asian,"san francisco",2.0
462,"bok choy asian market cafe",asian,"palo alto",3.6
463,"s & b",bbq,"san mateo",2.7
464,"boogie woogie bagel boy",bagels,alameda,2.7
465,"lox stock & bagel",bagels,berkeley,2.0
466,"lox stock & bagel",bagels,berkeley,2.0
467,"noah's bagels",bagels,berkeley,3.8
468,"lox stock & bagel inc",bagels,emeryville,2.0
469,"noahs new york bagels",bagels,emeryville,2.0
470,"the posh bagel",bagels,"los altos",3.4
471,"the posh bagel",bagels,"los gatos",3.0
472,"the posh bagel",bagels,"menlo park",2.0
473,"morgan hill bagel house",bagels,"morgan hill",3.0
474,"the better bagel",bagels,"mountain view",2.4
475,"that bagel place",bagels,napa,2.0
476,"the bagel adventure",bagels,napa,1.7
477,"lox stock & bagel",bagels,oakland,2.0
478,"suzy's lox & bagel",bagels,oakland,2.0
479,"bagel works",bagels,"palo alto",3.7
480,bagel,bagels,"san francisco",2.7
481,"the bagelry",bagels,"santa cruz",2.3
482,"the bagelry",bagels,"santa cruz",2.8
483,"broadway bagels",bagels,saratoga,2.0
484,"saratoga bagels",bagels,saratoga,2.2
485,"the bagelry",bagels,soquel,2.0
486,"phil a bagel",bagels,"walnut creek",2.7
487,"noahs bagels",bagels,"los gatos",3.1
